Date,Grid_Load_MWh,Residual_Load_MWh,Grid_Load_Scaled,Temperature_F,Humidity_Percent,WindSpeed_kmh,Precipitation_mm,SolarRadiation_Wm2,Month,DayOfWeek,IsWeekend,TempSquared
2015-11-01,1143829.75,973321.0,0.3227362511154659,48.5,78.8,9.6,0.0,79.0,11,6,True,2352.25
2015-11-02,1459486.25,1342274.5,0.687729109532315,44.0,84.1,7.0,0.0,72.5,11,0,False,1936.0
2015-11-03,1501974.0,1394385.25,0.7368575935654349,39.4,85.0,5.7,0.0,78.8,11,1,False,1552.36
2015-11-04,1501964.25,1355944.25,0.7368463196636792,37.6,92.2,5.5,0.0,38.6,11,2,False,1413.7600000000002
2015-11-05,1480819.0,1311288.5,0.7123961174994948,47.2,89.4,5.3,0.002,51.8,11,3,False,2227.84
2015-11-06,1462573.5,1211360.5,0.6912988893472323,52.0,89.7,6.8,0.008,46.1,11,4,False,2704.0
2015-11-07,1266163.75,897713.25,0.4641907636680882,58.9,92.6,11.8,0.081,19.7,11,5,True,3469.21
2015-11-08,1150594.25,759375.75,0.3305580263387251,56.6,75.7,18.4,0.002,60.3,11,6,True,3203.56
2015-11-09,1480767.0,876282.0,0.712335990023464,56.4,76.9,17.9,0.033,40.0,11,0,False,3180.96
2015-11-10,1518108.0,890559.5,0.7555132993015672,57.5,79.7,18.6,0.014,14.0,11,1,False,3306.25
2015-11-11,1507564.25,1072280.5,0.7433215863131364,57.0,86.4,12.7,0.012,9.9,11,2,False,3249.0
2015-11-12,1509683.5,1174520.5,0.7457720700357902,53.4,77.4,13.2,0.0,30.6,11,3,False,2851.56
2015-11-13,1510891.75,1022005.5,0.7471691666302913,52.4,80.7,18.0,0.121,38.2,11,4,False,2745.76
2015-11-14,1301251.25,674661.0,0.5047623562685928,45.8,73.6,19.0,0.006,48.5,11,5,True,2097.64
2015-11-15,1208250.25,655904.5,0.3972255216853499,49.0,95.3,18.6,0.834,3.9,11,6,True,2401.0
2015-11-16,1494604.25,1013274.5,0.728335969210107,51.3,89.7,11.3,0.286,23.3,11,0,False,2631.69
2015-11-17,1540540.25,1046537.5,0.7814516564975109,53.0,89.8,13.7,0.108,10.8,11,1,False,2809.0
2015-11-18,1537272.5,804475.0,0.7776731649629103,53.6,77.1,26.9,0.16,20.7,11,2,False,2872.96
2015-11-19,1561215.0,865901.0,0.8053578206333794,52.8,68.6,24.5,0.056,43.0,11,3,False,2787.84
2015-11-20,1522261.0,1195095.75,0.7603154033007093,46.1,81.4,14.8,0.035,39.7,11,4,False,2125.21
